"ID","ORD","AAO_ID","DEPT_ID","PORTFOLIO_ID"
"312","15","76","34","3"
"313","16","76","31",
"314","17","76","35",
"315","18","76","16",
"316","19","76","17","1"
"317","0","77","1",
"318","1","77","2",
"319","2","77","23",
"320","3","77","32",
"321","4","77","4",
"322","5","77","25",
"323","6","77","27",
"324","7","77","28",
"325","8","77","10",
"326","9","77","11",
"327","10","77","18",
"328","11","77","22",
"329","12","77","33",
"330","13","77","30",
"331","14","77","14",
"332","15","77","34","3"
"333","16","77","31",
"334","17","77","35",
"335","18","77","16",
"336","19","77","17","1"
"337","0","78","1",
"338","1","78","2",
"339","2","78","23",
"340","3","78","32",
"341","4","78","4",
"342","5","78","25",
"343","6","78","27",
"344","7","78","28",
"345","8","78","10",
"346","9","78","11",
"347","10","78","18",
"348","11","78","22",
"349","12","78","36",
"350","13","78","33",
"351","14","78","37",
"352","15","78","31",
"353","16","78","35",
"354","17","78","16",
"355","18","78","17","1"
"356","0","79","1",
"357","1","79","2",
"358","2","79","23",
"359","3","79","32",
"360","4","79","4",
"361","5","79","25",
"362","6","79","27",
"363","7","79","28",
"364","8","79","10",
"365","9","79","11",
"366","10","79","18",
"367","11","79","22",
"368","12","79","36",
"369","13","79","33",
"370","14","79","14",
"371","15","79","37",
"372","16","79","31",
"373","17","79","35",
"374","18","79","16",
"375","19","79","17","1"
"376","0","80","1",
"377","1","80","2",
"378","2","80","23",
"379","3","80","4",
"380","4","80","25",
"381","5","80","27",
"382","6","80","28",
"383","7","80","10",
"384","8","80","11",
"385","9","80","18",
"386","10","80","22",
"387","11","80","38",
"388","12","80","33",
"389","13","80","14",
"390","14","80","37",
"391","15","80","31",
"392","16","80","35",
"393","17","80","16",
"394","18","80","17","1"
"395","0","81","1",
"396","1","81","2",
"397","2","81","23",
"398","3","81","4",
"399","4","81","25",
"400","5","81","27",
"401","6","81","28",
"402","7","81","10",
"403","8","81","11",
"404","9","81","18",
"405","10","81","22",
"406","11","81","38",
"407","12","81","33",
"408","13","81","14",
"409","14","81","37",
"410","15","81","31",
"411","16","81","35",
"412","17","81","16",
"413","18","81","17","1"
"414","0","82","39",
"415","1","82","2",
"416","2","82","40",
"417","3","82","4",
"418","4","82","41",
"419","5","82","42",
"420","6","82","43",
"421","7","82","44",
"422","8","82","10",
"423","9","82","45",
"424","10","82","18","4"
"425","11","82","46",
"426","12","82","47",
"427","13","82","48",
"428","14","82","14",
"429","15","82","49",
"430","16","82","16",
"431","17","82","17","1"
"432","0","83","39",
"433","1","83","2",
"434","2","83","40",
"435","3","83","4",
"436","4","83","41",
"437","5","83","42",
"438","6","83","43",
"439","7","83","44",
"440","8","83","10",
"441","9","83","45",
"442","10","83","18","4"
"443","11","83","46",
"444","12","83","47",
"445","13","83","48",
"446","14","83","14",
"447","15","83","49",
"448","16","83","16",
"449","17","83","17","1"
"450","0","84","39",
"451","1","84","2",
"452","2","84","40",
"453","3","84","4",
"454","4","84","41",
"455","5","84","42",
"456","6","84","43",
"457","7","84","44",
"458","8","84","10",
"459","9","84","45",
"460","10","84","18","4"
"461","11","84","46",
"462","12","84","47",
"463","13","84","48",
"464","14","84","14",
"465","15","84","49",
"466","16","84","16",
"467","17","84","17","1"
"468","0","85","39",
"469","1","85","2",
"470","2","85","40",
"471","3","85","4",
"472","4","85","50",
"473","5","85","42",
"474","6","85","43",
"475","7","85","44",
