"SRC_ACT_NAME_ID","DST_ACT_NAME_ID","TYPE","SCORE"
"52","1097","phrase","20.598766326904297"
"52","1097","term","33.86467742919922"
"52","1097","3gram","350.1488342285156"
"52","1097","shingle","90.22667694091797"
"535","1300","term","16.755321502685547"
"535","1300","3gram","152.8147735595703"
"535","1300","shingle","25.115903854370117"
"1850","8308","phrase","39.816070556640625"
"1850","8308","term","47.55036926269531"
"1850","8308","3gram","347.13470458984375"
"1850","8308","shingle","121.52423095703125"
"1942","7319","phrase","29.783092498779297"
"1942","7319","term","31.274612426757812"
"1942","7319","3gram","199.32020568847656"
"1942","7319","shingle","69.71031188964844"
"579","9999","phrase","30.556936264038086"
"579","9999","term","30.556936264038086"
"579","9999","3gram","157.39515686035156"
"579","9999","shingle","67.63837432861328"
"1936","7294","phrase","27.582517623901367"
"1936","7294","term","29.07403564453125"
"1936","7294","3gram","183.00833129882812"
"1936","7294","shingle","71.66712188720703"
"1907","8642","phrase","39.575565338134766"
"1907","8642","term","39.575565338134766"
"1907","8642","3gram","221.63563537597656"
"1907","8642","shingle","73.33642578125"
"1413","1450","term","33.435028076171875"
"1413","1450","3gram","241.87283325195312"
"1413","1450","shingle","59.12590408325195"
"1878","9936","phrase","32.260528564453125"
"1878","9936","term","32.26052474975586"
"1878","9936","3gram","167.89039611816406"
"1878","9936","shingle","68.38003540039062"
"1019","11965","term","10.463808059692383"
"1019","12076","3gram","56.472049713134766"
"1019","11965","shingle","15.056548118591309"
"1845","1847","phrase","9.138019561767578"
"1845","1847","term","20.538700103759766"
"1845","1847","3gram","137.84442138671875"
"1845","1847","shingle","36.84092330932617"
"1202","5740","term","25.93963050842285"
"1202","1201","3gram","159.90151977539062"
"1202","5740","shingle","37.95240783691406"
"1366","8162","phrase","31.12973976135254"
"1366","8162","term","31.129737854003906"
"1366","8162","3gram","190.43104553222656"
"1366","8162","shingle","57.3582878112793"
"364","4544","term","15.836787223815918"
"364","4544","3gram","75.11856079101562"
"364","4544","shingle","23.68679428100586"
"1026","3531","term","15.392049789428711"
"1026","11690","3gram","138.4096221923828"
"1026","3531","shingle","31.79477310180664"
"1642","13521","3gram","114.46930694580078"
"1729","1839","term","36.47718811035156"
"1729","1839","3gram","288.8397216796875"
"1729","1839","shingle","80.24374389648438"
"362","8278","phrase","40.6979866027832"
"362","8278","term","40.6979866027832"
"362","8278","3gram","355.6319885253906"
"362","8278","shingle","94.90814971923828"
"2007","2517","term","7.637166976928711"
"2007","8803","3gram","47.897621154785156"
"2007","2517","shingle","9.915658950805664"
"1193","10524","term","20.16724395751953"
"1193","10524","3gram","155.2762908935547"
"1193","10524","shingle","30.542163848876953"
"966","10527","term","16.85374641418457"
"966","10527","3gram","134.1805419921875"
"966","10527","shingle","25.872074127197266"
"2082","3196","phrase","19.319244384765625"
"2082","3196","term","31.370677947998047"
"2082","3196","3gram","267.95513916015625"
"2082","3196","shingle","64.95477294921875"
"1733","785","term","28.09256362915039"
"1733","785","3gram","179.97207641601562"
"1733","785","shingle","64.42418670654297"
"1116","5740","phrase","40.837738037109375"
"1116","5740","term","45.82017135620117"
"1116","5740","3gram","309.9816589355469"
"1116","5740","shingle","80.73685455322266"
"2114","8120","3gram","211.005859375"
"806","13579","phrase","19.190649032592773"
"806","13579","term","19.190649032592773"
"806","13579","3gram","92.20051574707031"
"806","13579","shingle","36.86772918701172"
"97","7051","term","32.78194808959961"
"97","7051","3gram","184.6861114501953"
"97","7051","shingle","60.703094482421875"
"1583","3401","term","7.396401882171631"
"1672","609","3gram","204.76539611816406"
"782","11500","phrase","37.63949203491211"
"782","11500","term","37.63949203491211"
"782","11500","3gram","298.893798828125"
"782","11500","shingle","113.7630386352539"
"395","7219","phrase","19.928110122680664"
"395","7219","term","32.3593635559082"
"395","7219","3gram","251.9787139892578"
"395","7219","shingle","69.40458679199219"
"1249","3111","term","23.573976516723633"
"1249","3111","3gram","231.22976684570312"
"1249","10874","shingle","57.38304138183594"
"1141","1067","term","20.671550750732422"
"1141","1067","3gram","154.73512268066406"
"1141","1067","shingle","35.44248580932617"
"1509","3603","term","37.39725875854492"
"1509","3603","3gram","305.28070068359375"
"1509","3603","shingle","102.0666275024414"
"86","3553","term","15.744329452514648"
"86","3553","3gram","107.95977783203125"
"86","3553","shingle","22.24517059326172"
"1022","11624","phrase","27.02445411682129"
"1022","11624","term","27.024452209472656"
"1022","11624","3gram","157.96554565429688"
"1022","11624","shingle","51.77912139892578"
"349","10370","term","16.748905181884766"
"349","10370","3gram","182.36964416503906"
"349","10370","shingle","29.577892303466797"
"438","2415","term","19.482139587402344"
"438","2415","3gram","142.11276245117188"
"438","2415","shingle","44.54844284057617"
"1066","13404","term","8.569647789001465"
"1066","13384","3gram","43.05157470703125"
"1066","13500","shingle","12.4977388381958"
"1130","824","phrase","15.8311767578125"
"1130","824","term","25.34827995300293"
"1130","824","3gram","179.02040100097656"
"1130","824","shingle","54.26300811767578"
"1937","7295","phrase","28.800914764404297"
"1937","7295","term","30.292434692382812"
"1937","7295","3gram","189.1397247314453"
"1937","7295","shingle","74.24637603759766"
"848","7419","phrase","20.966894149780273"
"848","7419","term","20.96689224243164"
"848","7419","3gram","109.1971435546875"
"848","7419","shingle","34.039554595947266"
"1165","603","3gram","219.28665161132812"
"1139","1028","phrase","26.13968849182129"
"1139","1028","term","26.13968849182129"
"1139","1028","3gram","151.28343200683594"
"1139","1028","shingle","47.6796989440918"
"1324","7880","term","15.998411178588867"
"1324","7880","3gram","88.56011962890625"
"1324","7880","shingle","22.47564125061035"
