"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"1","72","1051.0"
"2","72","1312.0"
"3","72","1313.0"
"4","72","1349.0"
"1","73","15297.0"
"2","73","14685.0"
"3","73","10414.0"
"4","73","10496.0"
"5","73","9360.0"
"1","74","493858.0"
"2","74","495099.0"
"3","74","508965.0"
"4","74","516506.0"
"5","74","528572.0"
"1","75","266768.0"
"2","75","273990.0"
"3","75","285432.0"
"4","75","293492.0"
"5","75","297862.0"
"1","76","3950.0"
"2","76","4981.0"
"3","76","3093.0"
"4","76","3161.0"
"5","76","3240.0"
"1","77","35521.0"
"2","77","38801.0"
"3","77","39247.0"
"4","77","38981.0"
"5","77","39149.0"
"1","78","354082.0"
"2","78","339737.0"
"3","78","342216.0"
"4","78","340770.0"
"5","78","348101.0"
"1","79","3418101.0"
"1","80","3764078.0"
"2","81","7999545.0"
"3","81","8679449.0"
"4","81","9025259.0"
"5","81","9533537.0"
"1","82","7117505.0"
"2","82","7686897.0"
"3","82","8343145.0"
"4","82","9036485.0"
"5","82","9729016.0"
"1","83","1.122929E7"
"2","83","1.1829181E7"
"3","83","1.2452819E7"
"4","83","1.3145327E7"
"5","83","1.3820565E7"
"1","84","127314.0"
"2","84","131941.0"
"3","84","115953.0"
"4","84","85630.0"
"5","84","74944.0"
"1","86","6992977.0"
"2","86","7061901.0"
"3","86","7170630.0"
"4","86","7289541.0"
"5","86","7406952.0"
"1","87","245592.0"
"2","87","238660.0"
"3","87","230066.0"
"4","87","220355.0"
"5","87","209398.0"
"1","88","420388.0"
"2","88","450724.0"
"3","88","410809.0"
"4","88","530459.0"
"5","88","473214.0"
"1","89","1395944.0"
"2","89","1416592.0"
"3","89","1463371.0"
"4","89","1500118.0"
"5","89","1523648.0"
"1","90","1943204.0"
"2","90","1940267.0"
"3","90","2017404.0"
"4","90","2100279.0"
"5","90","2148562.0"
"1","91","443431.0"
"2","91","167919.0"
"3","91","191167.0"
"4","91","245274.0"
"5","91","259744.0"
"1","92","59424.0"
"2","92","46815.0"
"3","92","43835.0"
"4","92","41790.0"
"5","92","36134.0"
"1","93","1191477.0"
"2","93","1201101.0"
"3","93","1150408.0"
"4","93","1140550.0"
"5","93","1147089.0"
"1","94","15422.0"
"2","94","19150.0"
"3","94","18552.0"
"4","94","18460.0"
"5","94","18463.0"
"1","95","242385.0"
"2","95","316281.0"
"3","95","285876.0"
"4","95","219219.0"
"5","95","128691.0"
"1","96","382729.0"
"2","96","383388.0"
"3","96","385728.0"
"4","96","385297.0"
"5","96","359775.0"
"1","97","2091.0"
"2","97","1555.0"
"1","98","71372.0"
"2","98","99790.0"
"3","98","106795.0"
"4","98","112450.0"
"5","98","114635.0"
"1","99","254930.0"
"2","99","282723.0"
"3","99","329340.0"
"4","99","324906.0"
"5","99","365733.0"
"1","101","79171.0"
"2","101","79387.0"
"3","101","78783.0"
"4","101","76650.0"
"5","101","75473.0"
"1","102","97610.0"
"2","102","76717.0"
"3","102","74102.0"
"4","102","57489.0"
"5","102","53099.0"
"1","103","179595.0"
"2","103","175225.0"
"3","103","181759.0"
"4","103","221073.0"
"5","103","242270.0"
"1","104","855382.0"
"2","104","386767.0"
"3","104","305589.0"
"4","104","250843.0"
"5","104","245496.0"
"1","105","61353.0"
"2","105","56292.0"
"3","105","57520.0"
"4","105","55266.0"
"5","105","54588.0"
"1","106","64260.0"
"2","106","60501.0"
"3","106","63523.0"
"4","106","63632.0"
"5","106","64281.0"
"1","107","41038.0"
"2","107","37509.0"
"3","107","36324.0"
"4","107","35961.0"
"5","107","35742.0"
"1","108","51193.0"
"2","108","50208.0"
"3","108","51588.0"
"4","108","53394.0"
"5","108","49447.0"
"1","109","65939.0"
"2","109","64336.0"
"3","109","67483.0"
"4","109","66616.0"
"5","109","61597.0"
"1","110","50231.0"
"2","110","45135.0"
"3","110","42423.0"
"4","110","41168.0"
"5","110","40852.0"
"1","111","2854.0"
"2","111","4297.0"
"3","111","4264.0"
"4","111","4396.0"
"5","111","2533.0"
"1","112","253948.0"
"2","112","319388.0"
"3","112","285977.0"
"4","112","161035.0"
"5","112","139657.0"
"1","113","71726.0"
"2","113","77029.0"
"3","113","69251.0"
"4","113","64654.0"
"5","113","67445.0"
"1","114","19166.0"
"2","114","19575.0"
"3","114","21133.0"
"4","114","21934.0"
"5","114","22557.0"
"1","115","177171.0"
"2","115","496451.0"
"3","115","143327.0"
"4","115","178147.0"
"5","115","493205.0"
"1","116","113024.0"
"2","116","107886.0"
"3","116","102549.0"
"4","116","103834.0"
"5","116","105596.0"
"1","117","62876.0"
"2","117","77369.0"
"3","117","79821.0"
"4","117","82228.0"
"5","117","85104.0"
"1","118","3303.0"
"2","118","3316.0"
"3","118","4575.0"
"4","118","6189.0"
"5","118","6617.0"
"1","119","24417.0"
"2","119","20854.0"
"3","119","21008.0"
"4","119","20321.0"
"5","119","19028.0"
"1","120","30599.0"
"2","120","28280.0"
"3","120","24359.0"
"4","120","14978.0"
"5","120","12748.0"
"1","121","88249.0"
"2","121","127488.0"
"3","121","106039.0"
"4","121","108194.0"
"5","121","98568.0"
"1","122","120616.0"
"2","122","152554.0"
"3","122","157004.0"
"4","122","161609.0"
"5","122","166241.0"
"1","123","57741.0"
"2","123","58826.0"
"3","123","53681.0"
"4","123","51414.0"
"5","123","50870.0"
"1","124","40711.0"
"2","124","31987.0"
"3","124","32782.0"
"4","124","30618.0"
"5","124","25928.0"
"1","125","8485200.0"
"2","125","8174867.0"
"3","125","8322304.0"
"4","125","8416153.0"
"5","125","8503454.0"
"1","126","795547.0"
"2","126","3642854.0"
"3","126","1839227.0"
"4","126","1731690.0"
"5","126","1776940.0"
"1","127","88295.0"
"2","127","94608.0"
"3","127","97348.0"
"4","127","93626.0"
"5","127","89672.0"
"1","128","500329.0"
"2","128","527372.0"
"3","128","531139.0"
"4","128","532951.0"
"5","128","539611.0"
"1","129","75659.0"
"2","129","76820.0"
"3","129","82058.0"
"4","129","77641.0"
"5","129","79132.0"
"1","130","125932.0"
"2","130","129568.0"
"3","130","130400.0"
"4","130","134369.0"
"5","130","133787.0"
"1","131","220086.0"
"2","131","232887.0"
"3","131","227401.0"
"4","131","227355.0"
"5","131","226906.0"
"1","132","139584.0"
"2","132","140871.0"
"3","132","138650.0"
"4","132","137900.0"
"5","132","137900.0"
"1","133","139584.0"
"2","133","140871.0"
"3","133","138650.0"
"4","133","137900.0"
"5","133","137900.0"
"1","134","12760.0"
"2","134","12827.0"
"3","134","12827.0"
"4","134","12872.0"
"5","134","12917.0"
"1","149","292334.0"
"2","149","318253.0"
"3","149","337723.0"
"4","149","323369.0"
"5","149","338721.0"
"1","150","97445.0"
"2","150","106085.0"
"3","150","112574.0"
"4","150","107790.0"
"5","150","112907.0"
"1","151","166935.0"
"2","151","167615.0"
"3","151","165381.0"
"4","151","176605.0"
"5","151","180827.0"
"1","152","166935.0"
"2","152","167615.0"
"3","152","165381.0"
"4","152","176605.0"
"5","152","180827.0"
"1","153","43595.0"
"2","153","45895.0"
"8","153","40958.0"
"9","153","53865.0"
"10","153","53894.0"
"1","154","26694.0"
"2","154","21614.0"
"8","154","20520.0"
"9","154","20471.0"
"10","154","20864.0"
"1","155","255282.0"
"2","155","293309.0"
"8","155","1300.0"
"1","156","63974.0"
"2","156","68934.0"
"3","156","70340.0"
"4","156","68037.0"
"5","156","68202.0"
"1","157","26177.0"
"2","157","26199.0"
"8","157","26314.0"
"9","157","26537.0"
"10","157","26747.0"
"1","158","17600.0"
"2","158","18061.0"
"8","158","14314.0"
"9","158","14393.0"
"10","158","14459.0"
"1","159","313242.0"
"2","159","346028.0"
"3","159","289727.0"
"4","159","256908.0"
"5","159","259598.0"
"1","160","33185.0"
"2","160","33525.0"
"8","160","33521.0"
"9","160","31921.0"
"10","160","30485.0"
"1","161","19130.0"
"2","161","19249.0"
"8","161","19257.0"
"11","161","19398.0"
"10","161","19497.0"
"1","162","182430.0"
"2","162","188372.0"
"8","162","191184.0"
"9","162","194801.0"
"10","162","197128.0"
"1","163","139500.0"
"2","163","144875.0"
"8","163","131607.0"
"9","163","118898.0"
"10","163","117780.0"
"1","164","422914.0"
"2","164","422600.0"
"8","164","422657.0"
"9","164","415073.0"
"10","164","415418.0"
"1","165","2.3316803E7"
"2","165","2.4106236E7"
