"ID","NAME"
"125","Classification (Publications, Films and Computer Games) Act 1995"
"126","Coastal Waters (Northern Territory Powers) Act 1980"
"127","Coastal Waters (Northern Territory Title) Act 1980"
"128","Coastal Waters (State Powers) Act 1980"
"129","Coastal Waters (State Title) Act 1980"
"130","Commerce (Trade Descriptions) Act 1905"
"131","Common Informers (Parliamentary Disqualifications) Act 1975"
"132","Commonwealth Motor Vehicles (Liability) Act 1959"
"133","Commonwealth Places (Application of Laws) Act 1970"
"134","Complaints (Australian Federal Police) Act 1981, except to the extent administered by the Prime Minister"
"135","Copyright Act 1968"
"136","Corporations Act 2001, paragraph 1315(1)(c) and section 1316"
"137","Crimes Act 1914"
"138","Crimes at Sea Act 2000"
"139","Crimes (Aviation) Act 1991"
"140","Crimes (Biological Weapons) Act 1976"
"141","Crimes (Currency) Act 1981"
"142","Crimes (Foreign Incursions and Recruitment) Act 1978"
"143","Crimes (Hostages) Act 1989"
"144","Crimes (Internationally Protected Persons) Act 1976"
"145","Crimes (Overseas) Act 1964"
"146","Crimes (Ships and Fixed Platforms) Act 1992"
"147","Crimes (Superannuation Benefits) Act 1989"
"148","Crimes (Torture) Act 1988"
"149","Crimes (Traffic in Narcotic Drugs and Psychotropic Substances) Act 1990"
"150","Criminal Code Act 1995"
"151","Criminology Research Act 1971"
"152","Customs Act 1901, except to the extent administered by the Treasurer"
"153","Customs Administration Act 1985"
"154","Customs Depot Licensing Charges Act 1997"
"155","Customs Securities (Penalties) Act 1981"
"156","Customs Tariff Act 1995"
"157","Customs Tariff (Anti-Dumping) Act 1975"
"158","Customs Undertakings (Penalties) Act 1981"
"159","Customs (Tariff Concession System Validations) Act 1999"
"160","Death Penalty Abolition Act 1973"
"161","Defence Force Discipline Appeals Act 1955"
"162","Defence (Transitional Provisions) Act 1946, and Defence Transition (Residual Provisions) Act 1952, in relation to National Security (Supplementary) Regulation 100"
"163","Defence (Visiting Forces) Act 1963"
"164","Director of Public Prosecutions Act 1983"
"165","Disability Discrimination Act 1992"
"166","Domicile Act 1982"
"167","Electronic Transactions Act 1999"
"168","Environment Protection (Northern Territory Supreme Court) Act 1978"
"169","Evidence Act 1995"
"170","Evidence and Procedure (New Zealand) Act 1994"
"171","Evidence and Procedure (New Zealand) (Transitional Provisions and Consequential Amendments) Act 1994"
"172","Evidence (Transitional Provisions and Consequential Amendments) Act 1995"
"173","Extradition Act 1988"
"174","Extradition (Repeal and Consequential Provisions) Act 1988"
"175","Family Court of Western Australia (Orders of Registrars) Act 1997"
"176","Family Law Act 1975, except to the extent administered by the Minister for Family and Community Services"
"177","Family Law Legislation Amendment (Superannuation) (Consequential Amendments) Act 2002"
"178","Federal Court of Australia Act 1976"
"179","Federal Court of Australia (Consequential Provisions) Act 1976"
"180","Federal Magistrates Act 1999"
"181","Federal Proceedings (Costs) Act 1981"
"182","Financial Transaction Reports Act 1988"
"183","Foreign Evidence Act 1994"
"184","Foreign Evidence (Transitional Provisions and Consequential Amendments) Act 1994"
"185","Foreign Judgments Act 1991"
"186","Foreign Proceedings (Excess of Jurisdiction) Act 1984"
"187","Foreign States Immunities Act 1985"
"188","Freedom of Information Act 1982"
"189","Geneva Conventions Act 1957, other than Part IV"
"190","Genocide Convention Act 1949"
"191","High Court Justices (Long Leave Payments) Act 1979"
