"ACT_NO","YEAR","ACT_NAME_ID"
"179","1973","2202"
"114","1974","4093"
"5","1976","4094"
"124","1976","4096"
"176","1978","4097"
"142","1979","4098"
"138","1980","4099"
"123","1981","7349"
"77","1982","7350"
"107","1984","7351"
"89","1947","7352"
"89","1947","7352"
"50","1920","712"
"50","1920","712"
"93","1936","4067"
"93","1936","4067"
"6","1947","4068"
"6","1947","4068"
"39","1960","4069"
"72","1961","4070"
"8","1963","4071"
"79","1971","4072"
"130","1973","4073"
"124","1974","2201"
"108","1984","4080"
"91","1977","4075"
"27","1980","4076"
"69","1984","4077"
"69","1986","4078"
"45","1989","4079"
"95","1982","714"
"132","2001","7353"
"133","2001","715"
"81","1995","720"
"97","1995","2203"
"98","1995","2204"
"17","2001","2205"
"161","1978","7354"
"131","1968","7355"
"97","1969","7356"
"42","1972","7357"
"99","1974","7358"
"140","1976","7359"
"149","1977","7360"
"18","1978","7361"
"30","1980","7362"
"73","1990","7363"
"75","1981","7364"
"70","1961","7365"
"129","1972","7366"
"178","1973","7367"
"38","1981","7368"
"70","1958","7369"
"5","1974","7370"
"77","1981","7371"
"89","1959","7372"
"80","2010","7373"
"40","1960","7374"
"125","1976","7375"
"36","1996","461"
"42","1996","719"
"19","1999","2206"
"59","2007","2207"
"149","2010","2208"
"108","2015","2209"
"107","2018","2210"
"39","2007","1381"
"38","2007","1380"
"190","1973","7376"
"189","1973","7377"
"96","1979","7378"
"60","1991","7379"
"42","1982","7380"
"46","2000","7381"
"117","2014","7382"
"103","2001","558"
"22","1947","4103"
"22","1947","4103"
"68","1952","4104"
"32","1959","4105"
"12","1965","4106"
"9","1966","4107"
"132","1973","4108"
"119","1984","611"
"29","1946","4109"
"29","1946","4109"
"84","1948","4110"
"84","1948","4110"
"49","1920","4111"
"49","1920","4111"
"12","1939","4112"
"12","1939","4112"
"17","1926","4113"
"17","1926","4113"
"44","1944","4114"
"44","1944","4114"
"16","1952","4115"
"10","1954","4116"
"106","1956","4117"
"81","1960","625"
"28","2014","2215"
"3","2015","2216"
"146","2015","2217"
"5","2016","2218"
"13","1905","113"
"13","1905","113"
"32","1918","4118"
"32","1918","4118"
"2","1980","4119"
"16","1902","7383"
"16","1902","7383"
"10","1902","7384"
"10","1902","7384"
"9","1902","7385"
"9","1902","7385"
"1","1901","7386"
"1","1901","7386"
"6","1902","7387"
"6","1902","7387"
"15","1901","7388"
"15","1901","7388"
"10","1901","7389"
"10","1901","7389"
"3","1901","7390"
"3","1901","7390"
"15","1902","7391"
"15","1902","7391"
"1","1902","7392"
"1","1902","7392"
"4","1902","7393"
"4","1902","7393"
"2","1902","7394"
"2","1902","7394"
"57","1970","7395"
"51","1971","7396"
"1","2006","7397"
"127","1988","7398"
"145","1994","7399"
"136","1995","7400"
"156","1992","4123"
"30","1981","396"
"43","1991","4124"
"103","1980","398"
"23","2010","2220"
"90","2012","2221"
"48","1960","397"
"72","1988","7401"
"170","2006","7402"
"169","2006","7403"
"52","2007","7404"
"130","2017","7405"
"50","2010","7406"
"126","1998","7407"
"124","2004","2228"
"144","2005","7408"
"125","2004","2229"
"104","2004","1186"
"21","1995","1083"
"139","2007","7409"
"73","1940","4126"
"73","1940","4126"
"66","1941","4127"
"66","1941","4127"
"46","1936","7410"
"46","1936","7410"
"4","1936","4128"
"4","1936","4128"
"36","1937","4129"
"36","1937","4129"
"197","1976","4131"
"147","1981","4132"
"198","1976","4133"
"59","1938","4134"
"59","1938","4134"
"45","1947","4135"
"45","1947","4135"
"8","1957","4136"
"80","1960","4137"
"117","1968","4138"
"196","1973","4139"
"14","1981","4140"
"15","1986","4141"
"195","1976","4142"
"146","1981","4143"
"28","1984","4143"
"196","1976","4145"
"58","1938","4146"
"58","1938","4146"
"44","1947","4147"
"44","1947","4147"
"27","1948","4148"
"27","1948","4148"
"35","1953","4149"
"79","1960","4150"
"38","1964","4151"
"84","1971","4152"
"61","1938","4153"
"61","1938","4153"
"81","1971","4154"
"106","1972","4155"
"195","1973","4156"
"145","1977","4161"
"44","1976","4157"
"17","1977","4158"
"120","1978","4159"
"15","1981","4160"
"82","1971","4162"
"146","1977","4166"
"45","1976","4163"
"18","1977","4164"
"121","1978","4165"
"83","1971","4167"
"197","1973","4168"
"147","1977","4172"
"46","1976","4169"
"19","1977","4170"
"122","1978","4171"
"63","1938","4173"
"63","1938","4173"
"62","1938","4174"
"62","1938","4174"
"21","1918","7411"
"21","1918","7411"
"7","1975","7412"
"39","2000","7413"
"2","2008","7414"
"3","2008","7415"
"180","1999","7416"
"132","2008","7417"
"133","2008","7418"
"74","2001","7419"
"163","2012","7420"
"164","2012","7421"
"1","2009","7422"
"2","2009","7423"
"62","1932","7424"
"62","1932","7424"
"126","2007","7425"
"127","2007","7426"
"83","2000","7427"
"66","2001","7428"
"45","2002","7429"
"57","2003","7430"
"90","2004","7431"
"74","2005","7432"
"68","2006","7433"
"97","2007","7434"
"57","2008","7435"
"65","2009","7436"
"62","2010","7437"
"71","2011","7438"
"80","2012","7439"
"109","2013","7440"
"65","2014","7441"
"79","2015","7442"
"71","2016","2242"
"62","2017","2243"
"52","2018","2244"
"13","1983","7443"
"34","1984","7444"
"32","1986","7445"
"28","1987","7446"
"37","1988","7447"
"40","1989","7448"
"31","1990","7449"
"63","1991","7450"
"38","1992","7451"
"21","1993","7452"
"53","1994","7453"
"19","2001","7454"
"1","2002","7455"
"39","2004","7456"
"37","2005","7457"
"21","2014","7458"
"30","2015","7459"
"118","1982","7460"
"85","1983","7461"
"172","1984","7462"
"141","1985","7463"
"116","1986","7464"
"111","1987","7465"
"98","1988","7466"
"154","1989","7467"
"100","1990","7468"
"166","1991","7469"
"140","1992","7470"
"74","1993","7471"
"48","1999","7472"
"115","2005","7473"
"16","1965","7474"
"74","1964","7475"
"154","1999","1237"
"155","1999","7476"
"34","2005","7477"
"33","2005","7478"
"49","1931","7479"
"49","1931","7479"
"13","1936","7480"
"13","1936","7480"
"158","1974","7481"
"142","1976","7482"
"99","1977","7483"
"119","2009","7484"
"120","2009","7485"
"63","1932","7486"
"63","1932","7486"
"18","1902","7487"
"18","1902","7487"
